Spectral Index,Description,Formula (LaTeX),Reference
ARVI,Atmospherically Resistant Vegetation Index,$$(nir - (red - \gamma \cdot (red - blue))) / (nir + (red - \gamma \cdot (red - blue)))$$,https://doi.org/10.1109/36.134076
BAI,Burned Area Index,$$1.0 / ((0.1 - red) ^{2.0} + (0.06 - nir) ^{2.0})$$,https://digital.csic.es/bitstream/10261/6426/1/Martin_Isabel_Serie_Geografica.pdf
EVI,Enhanced Vegetation Index,$$g \cdot (nir - red) / (nir + C1 \cdot red - C2 \cdot blue + L)$$,https://doi.org/10.1016/S0034-4257(96)00112-5
ExG,Excess Green Index,$$2 \cdot green - red - blue$$,https://doi.org/10.13031/2013.27838
ExGR,ExG - ExR Vegetation Index,$$(2.0 \cdot green - red - blue) - (1.3 \cdot red - green)$$,https://doi.org/10.1016/j.compag.2008.03.009
CRI700,Carotenoid Reflectance Index using 700 nm,$$(1.0 / blue) - (1.0 / redE1)$$,https://doi.org/10.1562/0031-8655(2002)0750272ACCIPL2.0.CO2
GEMI,Global Environment Monitoring Index,$$((2.0*((nir ^{2.0})-(red ^{2.0})) + 1.5 \cdot nir + 0.5 \cdot red)/(nir + red + 0.5))*(1.0 - 0.25*((2.0 \cdot ((nir ^{2.0}) - (red ^{2})) + 1.5 \cdot nir + 0.5 \cdot red)/(nir + red + 0.5)))-((red - 0.125)/(1 - red))$$,http://dx.doi.org/10.1007/bf00031911
GLI,Green Leaf Index,$$(2.0 \cdot green - red - blue) / (2.0 \cdot green + red + blue)$$,http://dx.doi.org/10.1080/10106040108542184
GNDVI,Green Normalized Difference Vegetation Index,$$(nir - green)/(nir + green)$$,https://doi.org/10.1016/S0034-4257(96)00072-7
MSR,Modified Simple Ratio,$$(nir / red - 1) / \sqrt{((nir / red + 1)})$$,https://doi.org/10.1080/07038992.1996.10855178
NGRDI,Normalized Green Red Difference Index,$$(green - red) / (green + red)$$,https://doi.org/10.1016/0034-4257(79)90013-0
NDREI,Normalized Difference Red Edge Index,$$(nir - redE1) / (nir + redE1)$$,https://doi.org/10.1016/1011-1344(93)06963-4
NLI,Non-Linear Vegetation Index,$$((nir ^{2}) - red)/((nir ^{2}) + red)$$,https://doi.org/10.1080/02757259409532252
OSAVI,Optimized Soil-Adjusted Vegetation Index,$$(nir - red) / (nir + red + 0.16)$$,https://doi.org/10.1016/0034-4257(95)00186-7
RDVI,Renormalized Difference Vegetation Index,$$(nir - red) / \sqrt{((nir + red)})$$,https://doi.org/10.1016/0034-4257(94)00114-3
SAVI,Soil-Adjusted Vegetation Index,$$(1.0 + L) \cdot (nir - red) / (nir + red + L)$$,https://doi.org/10.1016/0034-4257(88)90106-X
TVI,Transformed Vegetation Index,$$(((nir - red)/(nir + red)) + 0.5) ^{0.5}$$,https://ntrs.nasa.gov/citations/19740022614
VIG,Vegetation Index Green,$$(green - red) / (green + red)$$,https://doi.org/10.1016/S0034-4257(01)00289-9
WDRVI,Wide Dynamic Range Vegetation Index,$$(\alpha \cdot nir - red) / (\alpha \cdot nir + red)$$,https://doi.org/10.1078/0176-1617-01176
AVI,Advanced Vegetation Index,$$(nir \cdot (1.0 - red) \cdot (nir - red)) ^{(1/3)}$$,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.465.8749&rep=rep1&type=pdf
SI,Shadow Index,$$((1.0 - blue) \cdot (1.0 - green) \cdot (1.0 - red)) ^{(1/3)}$$,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.465.8749&rep=rep1&type=pdf
